,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
157,TYE7,TYE7,Both,1.0118745681331407,1.0267250321972565,0.5148969528751818,0.606662636319232,0.7058775072439167,0.48026431644738954,0.6008413150448192,2532,33218,No
527,YAP1_r,YAP1,Reverse,1.0117860204020892,0.8268291684838406,0.1676110479893791,0.8670219560869792,-0.07517874080405774,0.940072498860086,0.9714633204388937,252,35498,No
547,SIP4_r,SIP4,Reverse,1.0117010501520116,1.031353022935608,0.10167873998574754,0.9192553681794788,0.4721105991589094,0.6368478474085709,0.7459492714666129,84,35666,No
278,HAP2_f,HAP2,Forward,1.0106066287024549,1.0176510292162915,0.48774243690185975,0.6257595330713834,0.974725435622609,0.3296964724035578,0.4637835544815598,3198,32552,No
579,TBF1_r,TBF1,Reverse,1.0105708844209653,1.0236710479409814,0.6062715000110297,0.5443541049086005,1.146363714882771,0.2516446897686272,0.38533093120821044,4933,30817,No
88,MOT3,MOT3,Both,1.0102390270982875,1.0248309515752199,0.6728207418081583,0.501070904288531,0.44535338528901874,0.6560643935845449,0.7549234117959147,9864,25886,No
80,GTS1,GTS1,Both,1.0097491858025778,1.0026180347872364,0.6660056355857935,0.5054163164330366,-0.052159872301936624,0.9584013066481779,0.9817769482737433,9827,25923,No
289,RTG3_f,RTG3,Forward,1.0094939321700003,1.0412517429123243,0.40948935290367217,0.6822102119670768,1.2284024096642598,0.21929594376327832,0.3466290724000206,2482,33268,No
349,RPH1_f,RPH1,Forward,1.0093102599543282,0.977213683435114,0.3567409443264733,0.7213095818193068,0.046634836884777604,0.9628042664057208,0.9845720150375022,2760,32990,No
539,MAC1_r,MAC1,Reverse,1.0091441890057427,1.0382330389121726,0.3869524947261344,0.6988208202778627,1.095378574927455,0.27335081648007054,0.41107488514138485,2363,33387,No
358,YML081W_f,YML081W,Forward,1.0086015163060396,1.0232553195015959,0.5933995153072145,0.5529214775025191,1.2775267488495508,0.2014163430293322,0.3209561238516188,9686,26064,No
195,YRM1,YRM1,Both,1.0084732646251457,1.0524685936706744,0.05478673123851046,0.956525943470071,0.17240570549912224,0.863118587002762,0.9160897638224261,51,35699,No
122,YAP3,YAP3,Both,1.007901248715931,1.030326272971753,0.5532628463077803,0.5800898073616819,0.909305118077402,0.36318908975127906,0.4954876676885199,25350,10400,No
215,STE12_f,STE12,Forward,1.0075461499137763,0.9874313418401102,0.15320134534951918,0.8782760150550263,-0.4408254440535443,0.659339371772501,0.7572100597699817,818,34932,No
